ID,Label,Cost,NitRed,SedRed
386,Sub065 ISO-P-S,449081.5847,151.2918,43.5062
387,Sub065 ISO-P-M,1331302.142,445.7561,130.4959
388,Sub065 ISO-P-L,2213150.584,747.8388,217.5144
389,Sub065 ISO-M-S,335187.0373,151.2918,43.5062
390,Sub065 ISO-M-M,989618.5002,445.7561,130.4959
391,Sub065 ISO-M-L,1643677.847,747.8388,217.5144
392,Sub066 ISO-P-S,262082.2966,195.7351,45.2439
393,Sub066 ISO-P-M,776770.3456,274.2488,74.577
394,Sub066 ISO-P-L,1291237.203,274.2488,74.577
395,Sub066 ISO-M-S,194381.5497,195.7351,45.2439
396,Sub066 ISO-M-M,573668.1047,274.2488,74.577
397,Sub066 ISO-M-L,952733.4677,274.2488,74.577
398,Sub067 ISO-P-S,146331.2226,0.507900003,0.2384
399,Sub067 ISO-P-M,433923.8628,0.507900003,0.2384
400,Sub067 ISO-P-L,721398.1686,0.507900003,0.2384
401,Sub067 ISO-M-S,110112.3674,0.507900003,0.2384
402,Sub067 ISO-M-M,325267.2971,0.507900003,0.2384
403,Sub067 ISO-M-L,540303.8924,0.507900003,0.2384
404,Sub068 ISO-P-S,464560.2559,46.9996,23.1877
405,Sub068 ISO-P-M,1377460.842,144.5924,69.5384
406,Sub068 ISO-P-L,2289982.84,239.5546,115.8945
407,Sub068 ISO-M-S,348684.5712,122516.1805,3744.2783
408,Sub068 ISO-M-M,1029833.788,144.5924,69.5384
409,Sub068 ISO-M-L,1710604.416,239.5546,115.8945
410,Sub069 ISO-P-S,441903.3682,0,0
411,Sub069 ISO-P-M,1310772.268,0,0
412,Sub069 ISO-P-L,2179292.504,0,0
413,Sub069 ISO-M-S,335186.9705,0,0
414,Sub069 ISO-M-M,990623.0754,0,0
415,Sub069 ISO-M-L,1645710.516,0,0
416,Sub070 ISO-P-S,196931.9151,0,0
417,Sub070 ISO-P-M,584138.777,0,0
418,Sub070 ISO-P-L,971190.2586,0,0
419,Sub070 ISO-M-S,149374.313,0,0
420,Sub070 ISO-M-M,441465.9706,0,0
421,Sub070 ISO-M-L,733402.248,0,-2427.4189
422,Sub071 ISO-P-S,167849.8589,0,0
423,Sub071 ISO-P-M,497875.6807,0,0
424,Sub071 ISO-P-L,827769.0682,0,0
425,Sub071 ISO-M-S,127315.3584,0,0
426,Sub071 ISO-M-M,376272.1794,0,0
427,Sub071 ISO-M-L,625096.5659,0,0
428,Sub072 ISO-P-S,220586.0394,0,0
429,Sub072 ISO-P-M,654241.7797,0,0
430,Sub072 ISO-P-L,1087722.081,0,0
431,Sub072 ISO-M-S,166889.0672,0,0
432,Sub072 ISO-M-M,493150.8629,0,0
433,Sub072 ISO-M-L,819237.2198,0,0
434,Sub073 ISO-P-S,460538.4465,0,0
435,Sub073 ISO-P-M,1366013.612,0,0
436,Sub073 ISO-P-L,2271124.617,0,0
437,Sub073 ISO-M-S,349079.1865,0,0
438,Sub073 ISO-M-M,1031635.832,0,0
439,Sub073 ISO-M-L,1713828.318,0,0
440,Sub074 ISO-P-S,150799.0441,0,0
441,Sub074 ISO-P-M,447174.577,0,0
442,Sub074 ISO-P-L,743428.2103,0,0
443,Sub074 ISO-M-S,113488.9363,0,0
444,Sub074 ISO-M-M,335244.2536,0,0
445,Sub074 ISO-M-L,556877.6713,0,0
446,Sub075 ISO-P-S,192124.3138,0,0
447,Sub075 ISO-P-M,569878.4864,0,0
